,City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
0,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,90,6.91,2021-10-17
1,Airai,TL,-8.9266,125.4092,63.0,82,13,1.95,2021-10-17
2,Andreapol',RU,56.6513,32.2664,41.2,92,100,7.23,2021-10-17
3,Watertown,US,42.3709,-71.1828,59.13,68,40,3.0,2021-10-17
4,Marmora,IT,44.4583,7.094,43.07,79,10,4.43,2021-10-17
5,Albany,US,42.6001,-73.9662,53.17,77,100,1.01,2021-10-17
6,Hilo,US,19.7297,-155.09,78.8,73,90,5.75,2021-10-17
7,Ust-Maya,RU,60.4167,134.5333,14.49,86,98,5.06,2021-10-17
8,Ilulissat,GL,69.2167,-51.1,15.82,32,1,39.12,2021-10-17
9,Buin,CL,-33.7333,-70.75,77.32,20,0,4.76,2021-10-17
10,Cidreira,BR,-30.1811,-50.2056,61.11,75,50,9.01,2021-10-17
11,Skibbereen,IE,51.55,-9.2667,58.8,95,100,14.25,2021-10-17
12,Sept-Îles,CA,50.2001,-66.3821,50.05,97,100,13.0,2021-10-17
13,Muhafazat Lahij,YE,13.1667,44.5833,84.36,46,91,4.38,2021-10-17
14,Mar del Plata,AR,-38.0023,-57.5575,58.08,22,0,1.99,2021-10-17
15,Nyurba,RU,63.2842,118.3319,22.8,75,100,9.4,2021-10-17
16,Vanimo,PG,-2.6741,141.3028,80.4,78,91,5.37,2021-10-17
17,Thompson,CA,55.7435,-97.8558,51.96,50,40,3.44,2021-10-17
18,Vaini,TO,-21.2,-175.2,78.96,89,40,10.36,2021-10-17
19,Carnarvon,AU,-24.8667,113.6333,59.07,72,40,4.61,2021-10-17
20,Deputatsky,RU,69.3,139.9,-14.71,99,65,3.13,2021-10-17
21,Nikolskoye,RU,59.7035,30.7861,41.88,77,88,9.62,2021-10-17
22,São Filipe,CV,14.8961,-24.4956,78.82,77,0,4.45,2021-10-17
23,Mehamn,NO,71.0357,27.8492,39.11,80,100,30.02,2021-10-17
24,Alexandria,EG,31.2156,29.9553,73.18,58,21,8.12,2021-10-17
25,Yellowknife,CA,62.456,-114.3525,37.42,94,90,6.91,2021-10-17
26,Kathmandu,NP,27.7167,85.3167,68.22,100,75,0.0,2021-10-17
